course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Bachelor of Mass Communication (Hons) (Advertising),Bachelor,3 years,8,2800,14000,70800,Mar/ Aug,,,,,,1281
Bachelor of Mass Communication (Hons) (Public Relations),Bachelor,3 years,8,2800,14000,70800,Mar/ Aug,,,,,,1282
Bachelor of Mass Communication (Hons) (Public Relations & Marketing),Bachelor,3 years,8,2800,14000,70800,Mar/ Aug,,,,,,1283
Bachelor of Mass Communication (Hons) (Public Relations & Event Management),Bachelor,3 years,8,2800,14000,70800,Mar/ Aug,,,,,,1284
Diploma in Communication,Diploma,2 years,6,2800,13135,40230,Mar/ Aug,,,,,,1285
Foundation in Communication,Foundation,1 year,3,2800,12159,19000,Jan/ Mar/Aug,,,,,,1286
Foundation in Arts (FIA),Foundation,1 year,2,2800,21039,23664,Jan/ Mar/ Jul,,,,,,1287
Bachelor of Arts (Hons) Interior Architecture *,Bachelor,3 years,8,2800,13864,78000,Mar/ Aug,,,,,,1288
Diploma in Graphic Communication Design *,Diploma,2.5 years,5,2800,55898,58523,Mar/ Aug,,,,,,1289
Diploma in Interior Design *,Diploma,2.5 years,6,2800,12443,46350,Mar/ Aug,,,,,,1290
Foundation in Business *,Foundation,1 year,3,2800,12159,19000,Jan/ Mar/ Aug,,,,,,1291
Foundation in Design *,Foundation,1 year,3,2800,12159,19000,Jan/ Mar/ Aug,,,,,,1292
Master of Science (Engineering),Masters,2 year,2,2800,8839,32000,Jan/ Mar/ Jun/ Aug/ Oct,,,,,,1293
Bachelor of Design (Honours) In Creative Media,Bachelor,3 years,8,2800,14447,69960,Mar/ Aug,,,,,,1294
Bachelor of Chemical Engineering (Hons),Bachelor,4 years,10,2800,12685,108240,Mar/ Aug,,,,,,1295
Bachelor of Electrical and Electronic Engineering (Hons),Bachelor,4 years,10,2800,12685,108240,Mar/ Aug,,,,,,1296
Bachelor of Mechanical Engineering (Hons),Bachelor,4 years,10,2800,12685,108240,Mar/ Aug,,,,,,1297
Foundation in Engineering,Foundation,1 year,3,2800,12159,19000,Jan/ Mar/ Aug,,,,,,1298
Foundation in Science (FIS),Foundation,1 year,3,2800,12159,19000,Jan/ Mar/ Aug,,,,,,1299
Bachelor of Computer Science (Hons),Bachelor,3 years,9,2800,13778,73920,Mar/ Aug,,"Dual Award with University of the West of England, UK",,,,1300
Bachelor of Software Engineering (Hons),Bachelor,3 years,9,2800,13778,73920,Mar/ Aug,,"Dual Award with University of the West of England, UK",,,,1301
Bachelor of Information Technology (Hons),Bachelor,3 years,9,2800,13778,73920,Mar/ Aug,,"Dual Award with University of the West of England, UK",,,,1302
Diploma in Information Technology,Diploma,2 years,6,2800,13243,34650,Mar/ Aug,,,,,,1303
Foundation in Computing,Foundation,1 year,3,2800,12159,19000,Jan/ Mar/ Aug,,,,,,1304
"Bachelor of Medicine, Bachelor of Surgery (MBBS) *",Bachelor,5 years,10,2800,16072,335520,Mar/ Aug,,,,,,1305
Foundation in Science (FIS),Foundation,1 year,2,2800,22705,25330,Jan/ Mar/ Jul,,,,,,1306
Doctor of Philosophy (Pharmaceutical Sciences),PhD,3 years,6,2800,11089,66000,Jan/Mar/ Jun/ Aug/ Oct,,,,,,1307
Master of Philosophy (Pharmaceutical Sciences),Masters,1 year,2,2800,11089,44000,Feb/Mar/ Jun/ Aug/ Oct,,,,,,1308
Bachelor of Pharmacy (Hons) *,Bachelor,4 years,11,2800,14702,125020,Aug,,,,,,1309
Master of Science,Masters,2 year,4,2800,8839,32000,Jan/ Mar/ Jun/ Aug/ Oct,,,,,,1310
Bachelor of Science (Hons) (Food Science),Bachelor,3 years,8,2800,14849,67920,Mar/ Aug,,,,,,1311
Bachelor of Biotechnology (Hons),Bachelor,3 years,8,2800,14849,67920,Mar/ Aug,,,,,,1312
Bachelor of Biomedical Science (Hons),Bachelor,3 years,8,2800,14845,80920,Mar/ Aug,,,,,,1313
Foundation in Science (FIS),Foundation,1 year,2,2800,22705,25330,Jan/ Mar/ Jul,,,,,,1314
Master of Laws (Healthcare and Medical Law) (International Business and Trade Law),Masters,1.5 years,5,2800,9379,41040,Mar/ Jun/ Sep/ Nov,,,,,,1315
Bachelor of Laws (LLB) With Minor / Extension,Bachelor,3 years,9,2800,13459,81960,Mar/ Aug,,,,,,1316
Bachelor of Laws (LLB) With Free Electives,Bachelor,3 years,9,2800,13459,81960,Mar/ Aug,,,,,,1317
Postgraduate Certificate in Higher Education Teaching & Learning,Masters,1 years,3,2800,9199,10120,Feb/ Jun/ Sep,,,,,,1318
Master of Teaching & Learning,Masters,2 years,4,2800,9183,27594,Feb/ Jun/ Sep,,,,,,1319
Bachelor of Education (Hons),Bachelor,3 years,9,2800,12724,63960,Mar/ Aug,,,,,,1320
Foundation in Arts (FIA),Foundation,1 year,3,2800,12159,19000,Jan/ Mar/ Aug,,,,,,1321
Computer Science,Bachelor,2 years,6,2800,12078,9982,Jan/ May/ Aug,,American Degree Transfer Program,,,,1322
Engineering,Bachelor,2 years,6,2800,12145,9590,Jan/ May/ Aug,,American Degree Transfer Program,,,,1323
Liberal Arats,Bachelor,2 years,6,2800,12014,9780,Jan/ May/ Aug,,American Degree Transfer Program,,,,1324
Business,Bachelor,2 years,6,2800,12332,10564,Jan/ May/ Aug,,American Degree Transfer Program,,,,1325
Bachelor of Psychology (Hons),Bachelor,3 years,8,2800,13596,63840,Mar/ Aug,,,,,,1326
Bachelor of Arts and Social Science (Hons),Bachelor,3 Years,8,2800,13596,63840,Mar/ Aug,,,,,,1327
Bachelor of Performing Arts (Hons),Bachelor,3 Years,8,2800,13596,63840,Mar/ Aug,,,,,,1328
Intensive English (Level 1 & 2) - Entry Level *,Language,"12 weeks/
240 hours per level",1,2800,2435,5060,Jan/ Apr/ Aug/ Nov,,,,,,1329
Intensive English (Level 1 & 2) - Subsequent Level,Language,,1,2800,1785,4410,,,,,,,1330
