c_key,c_value,c_id
Full Payment,27700,1818
1st semester,4617,1818
2nd semester,4617,1818
3rd semester,4617,1818
4th semester,4617,1818
5th semester,4617,1818
6th semester,4617,1818
total payment,27700,1818
Full Payment,27700,1819
1st semester,4617,1819
2nd semester,4617,1819
3rd semester,4617,1819
4th semester,4617,1819
5th semester,4617,1819
6th semester,4617,1819
total payment,27700,1819
Full Payment,27700,1820
1st semester,4617,1820
2nd semester,4617,1820
3rd semester,4617,1820
4th semester,4617,1820
5th semester,4617,1820
6th semester,4617,1820
total payment,27700,1820
Full Payment,27700,1821
1st semester,4617,1821
2nd semester,4617,1821
3rd semester,4617,1821
4th semester,4617,1821
5th semester,4617,1821
6th semester,4617,1821
total payment,27700,1821
Full Payment,27700,1822
1st semester,4617,1822
2nd semester,4617,1822
3rd semester,4617,1822
4th semester,4617,1822
5th semester,4617,1822
6th semester,4617,1822
total payment,27700,1822
Full Payment,34350,1823
1st semester,5725,1823
2nd semester,5725,1823
3rd semester,5725,1823
4th semester,5725,1823
5th semester,5725,1823
6th semester,5725,1823
total payment,34350,1823
Full Payment,34350,1824
1st semester,5725,1824
2nd semester,5725,1824
3rd semester,5725,1824
4th semester,5725,1824
5th semester,5725,1824
6th semester,5725,1824
total payment,34350,1824
Full Payment,27700,1825
1st semester,4617,1825
2nd semester,4617,1825
3rd semester,4617,1825
4th semester,4617,1825
5th semester,4617,1825
6th semester,4617,1825
total payment,27700,1825
Full Payment,27700,1826
1st semester,4617,1826
2nd semester,4617,1826
3rd semester,4617,1826
4th semester,4617,1826
5th semester,4617,1826
6th semester,4617,1826
Total payment ,27700,1826
